# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
744000 135.842 44.3533 36.1833 57.7734 -32.8599 -24.9135
746000 -90.0482 -5.26172 61.2301 87.0659 -52.1705 -34.8954
748000 -111.422 -122.172 22.0165 175.606 -63.5507 -112.055
750000 -19.4196 10.819 -88.5934 26.0215 -26.8976 0.87609
752000 -6.92798 -16.6357 -35.9397 206.377 -91.3909 -114.986
754000 150.147 -94.5377 -112.838 65.9374 33.1124 -99.0498
756000 103.033 17.5182 -51.7929 144.801 -127.161 -17.6399
758000 53.4848 54.8298 -19.8346 -86.3943 -14.7387 101.133
760000 79.034 38.6676 -17.2255 -76.4799 -30.6794 107.159
762000 -78.0826 60.3731 19.6628 100.603 -56.1936 -44.4091
764000 21.5682 76.5696 59.8147 113.475 -108.708 -4.76669
766000 -22.6756 15.0968 24.3869 -91.6632 50.4679 41.1953
768000 -106.814 -36.1424 -60.2808 -34.4244 100.591 -66.1668
770000 -64.0471 -61.8562 113.289 -35.9314 -83.5361 119.467
772000 -38.5514 -86.8981 -39.7015 60.8568 -82.4523 21.5955
774000 -126.981 -33.4522 -74.266 100.872 -42.0832 -58.7891
776000 -118.331 -1.02057 71.6091 32.6821 -51.7635 19.0813
778000 -12.4213 42.2207 -52.0791 21.3734 -67.8489 46.4755
780000 -177.492 104.576 52.008 4.2991 114.314 -118.613
782000 43.1824 47.0208 91.1801 -109.337 136.01 -26.6726
784000 -4.6045 -33.7451 116.351 -60.916 61.8027 -0.88673
786000 -53.0929 -27.8821 100.031 -84.1498 -22.8802 107.03
788000 53.428 44.2388 58.3051 -16.4942 -22.7021 39.1963
790000 12.9521 -101.334 45.9447 69.4243 41.1323 -110.557
